from,to
"GH2","3.2.1.31"
"GH2","3.2.1.55"
"GH2","3.2.1.37"
"GH2","3.2.1.25"
"GH2","3.2.1.165"
"GH2","3.2.1.146"
"GH2","3.2.1.152"
"GH2","3.2.1.23"
"GH2","3.2.1.185"
"GH2","3.2.1.21"
"GH3","3.2.1.132"
"GH3","3.2.1.55"
"GH3","3.2.1.38"
"GH3","3.2.1.52"
"GH3","3.2.1.155"
"GH3","3.2.1.37"
"GH3","3.2.1.45"
"GH3","3.2.1.126"
"GH3","3.2.1.74"
"GH3","3.2.1.8"
"GH3","3.2.1.120"
"GH3","3.2.1.23"
"GH3","3.2.1.21"
"GH4","3.2.1.139"
"GH4","3.2.1.122"
"GH4","3.2.1.86"
"GH4","3.2.1.67"
"GH4","3.2.1.22"
"GH4","3.2.1.20"
"GH7","3.2.1.176"
"GH7","3.2.1.4"
"GH7","3.2.1.132"
"GH7","3.2.1.73"
"GH1","3.2.1.37"
"GH1","3.2.1.18"
"GH1","3.2.1.25"
"GH1","3.2.1.147"
"GH1","3.2.1.23"
"GH1","3.2.1.31"
"GH1","3.2.1.105"
"GH1","3.2.1.119"
"GH1","3.2.1.74"
"GH1","3.2.1.125"
"GH1","3.2.1.118"
"GH1","3.2.1.175"
"GH1","3.2.1.85"
"GH1","3.2.1.21"
"GH1","3.2.1.182"
"GH1","3.2.1.149"
"GH1","3.2.1.161"
"GH1","3.2.1.108"
"GH1","3.2.1.117"
"GH1","3.2.1.86"
"GH1","3.5.2.17"
"GH1","3.2.1.62"
"GH1","3.2.1.38"
"GH6","2.4.1.12"
"GH6","3.2.1.4"
"GH6","3.2.1.8"
"GH6","3.2.1.73"
"GH6","3.2.1.91"
"GH5","3.2.1.123"
"GH5","3.2.1.164"
"GH5","3.2.1.37"
"GH5","3.2.1.25"
"GH5","3.2.1.46"
"GH5","3.2.1.91"
"GH5","3.1.1.72"
"GH5","3.2.1.39"
"GH5","3.2.1.104"
"GH5","3.2.1.45"
"GH5","3.2.1.74"
"GH5","3.2.1.100"
"GH5","3.2.1.21"
"GH5","3.2.1.58"
"GH5","3.2.1.132"
"GH5","3.2.1.149"
"GH5","3.2.1.52"
"GH5","3.2.1.75"
"GH5","3.2.1.73"
"GH5","3.2.1.78"
"GH5","3.2.1.55"
"GH5","3.2.1.4"
"GH5","3.2.1.151"
"GH5","3.2.1.8"
"GH5","3.2.1.146"
"GH8","3.2.1.32"
"GH8","3.2.1.132"
"GH8","3.2.1.4"
"GH8","3.2.1.156"
"GH8","3.2.1.8"
"GH8","3.2.1.73"
"GH9","3.2.1.176"
"GH9","3.2.1.6"
"GH9","3.2.1.4"
"GH9","3.2.1.78"
"GH9","3.2.1.74"
"GH9","3.2.1.8"
"GH9","3.2.1.151"
"GH9","3.2.1.165"
"GH9","3.2.1.73"
"GH9","3.2.1.91"
"GH9","3.2.1.21"
"GH10","3.2.1.4"
"GH10","3.2.1.37"
"GH10","3.2.1.8"
"GH10","3.1.1.73"
"GH10","3.2.1.55"
"GH12","3.2.1.151"
"GH12","3.2.1.4"
"GH12","3.2.1.73"
"GH11","3.2.1.8"
"GH11","3.2.1.37"
"GH11","3.2.1.73"
"GH11","3.1.1.72"
"GH13","3.2.1.116"
"GH13","3.2.1.1"
"GH13","3.2.1.48"
"GH13","5.4.99.15"
"GH13","3.2.1.141"
"GH13","2.4.99.16"
"GH13","3.2.1.28"
"GH13","2.4.1.4"
"GH13","3.2.1.70"
"GH13","3.2.1.2"
"GH13","3.2.1.60"
"GH13","3.2.1.20"
"GH13","2.4.1.19"
"GH13","3.2.1.135"
"GH13","2.4.1.183"
"GH13","2.4.1.329"
"GH13","2.4.1.7"
"GH13","3.2.1.54"
"GH13","2.4.1.352"
"GH13","2.4.1.18"
"GH13","3.2.1.68"
"GH13","3.2.1.133"
"GH13","3.2.1.93"
"GH13","2.4.1.359"
"GH13","3.2.1.98"
"GH13","2.4.1.161"
"GH13","3.2.1.41"
"GH13","3.2.1.10"
"GH13","5.4.99.11"
"GH13","3.2.1.33"
"GH13","2.4.1.25"
"GH13","5.4.99.16"
"GH14","3.2.1.2"
"GH14","3.2.1.1"
"GH15","3.2.1.3"
"GH15","3.2.1.205"
"GH15","3.2.1.28"
"GH15","2.4.1.2"
"GH15","3.2.1.70"
"GH20","3.2.1.140"
"GH20","3.2.1.52"
"GH20","3.2.1.96"
"GH17","3.2.1.39"
"GH17","3.2.1.73"
"GH17","3.2.1.175"
"GH16","3.2.1.83"
"GH16","2.4.1.207"
"GH16","3.2.1.58"
"GH16","3.2.1.39"
"GH16","3.2.1.181"
"GH16","3.2.1.6"
"GH16","3.2.1.103"
"GH16","3.2.1.151"
"GH16","3.2.1.8"
"GH16","3.2.1.81"
"GH16","3.2.1.35"
"GH16","3.2.1.73"
"GH16","3.2.1.178"
"GH16","3.2.1.21"
"GH18","3.2.1.14"
"GH18","3.2.1.17"
"GH18","3.2.1.52"
"GH18","3.2.1.96"
"GH18","3.2.1.8"
"GH18","1.14.99.53"
"GH19","3.2.1.14"
"GH19","3.2.1.17"
"GH24","3.2.1.17"
"GH22","3.2.1.17"
"GH26","3.2.1.32"
"GH26","3.2.1.4"
"GH26","3.2.1.78"
"GH26","3.2.1.151"
"GH26","3.2.1.8"
"GH26","3.2.1.100"
"GH26","3.2.1.73"
"GH23","3.2.1.14"
"GH23","3.2.1.17"
"GH27","3.2.1.88"
"GH27","3.2.1.94"
"GH27","3.2.1.22"
"GH27","3.2.1.49"
"GH25","3.2.1.17"
"GH33","3.2.1.18"
"GH33","4.2.2.15"
"GH33","3.2.1.40"
"GH28","3.2.1.82"
"GH28","3.2.1.15"
"GH28","3.2.1.171"
"GH28","3.2.1.67"
"GH34","3.2.1.18"
"GH30","3.2.1.31"
"GH30","3.2.1.164"
"GH30","3.2.1.37"
"GH30","3.2.1.45"
"GH30","3.2.1.75"
"GH30","3.2.1.8"
"GH30","3.2.1.136"
"GH30","3.2.1.38"
"GH30","3.2.1.21"
"GH36","2.4.1.82"
"GH36","3.2.1.88"
"GH36","3.2.1.22"
"GH36","2.4.1.67"
"GH36","3.2.1.49"
"GH29","3.2.1.63"
"GH29","3.2.1.111"
"GH29","3.2.1.51"
"GH31","3.2.1.199"
"GH31","3.2.1.24"
"GH31","3.2.1.177"
"GH31","3.2.1.11"
"GH31","3.2.1.48"
"GH31","4.2.2.13"
"GH31","3.2.1.84"
"GH31","3.2.1.20"
"GH31","3.2.1.22"
"GH31","3.2.1.204"
"GH31","2.4.1.161"
"GH31","3.2.1.10"
"GH31","3.2.1.49"
"GH32","2.4.1.10"
"GH32","4.2.2.16"
"GH32","3.2.1.26"
"GH32","3.2.1.64"
"GH32","3.2.1.154"
"GH32","2.4.1.99"
"GH32","3.2.1.65"
"GH32","2.4.1.100"
"GH32","3.2.1.80"
"GH32","3.2.1.153"
"GH32","3.2.1.7"
"GH32","2.4.1.243"
"GH38","3.2.1.24"
"GH38","3.2.1.113"
"GH38","3.2.1.114"
"GH35","3.2.1.38"
"GH35","3.2.1.165"
"GH35","3.2.1.23"
"GH37","3.2.1.28"
"GH42","3.2.1.23"
"GH44","3.2.1.4"
"GH44","3.2.1.78"
"GH44","3.2.1.151"
"GH44","3.2.1.8"
"GH43","3.2.1.145"
"GH43","3.2.1.99"
"GH43","3.2.1.37"
"GH43","3.2.1.8"
"GH43","3.2.1.146"
"GH43","3.2.1.55"
"GH39","3.2.1.55"
"GH39","3.2.1.37"
"GH39","3.2.1.76"
"GH39","3.2.1.23"
"GH39","3.2.1.21"
"GH45","3.2.1.151"
"GH45","3.2.1.4"
"GH45","3.2.1.78"
"GH46","3.2.1.132"
"GH47","3.2.1.113"
"GH48","3.2.1.14"
"GH48","3.2.1.176"
"GH48","3.2.1.4"
"GH48","3.2.1.151"
"GH49","3.2.1.57"
"GH49","3.2.1.11"
"GH49","3.2.1.95"
"GH50","3.2.1.23"
"GH50","3.2.1.81"
"GH51","3.2.1.8"
"GH51","3.2.1.4"
"GH51","3.2.1.37"
"GH51","3.2.1.55"
"GH52","3.2.1.37"
"GH53","3.2.1.89"
"GH54","3.2.1.37"
"GH54","3.2.1.55"
"GH56","3.2.1.35"
"GH55","3.2.1.58"
"GH55","3.2.1.39"
"GH63","3.2.1.106"
"GH63","3.2.1.84"
"GH63","3.2.1.20"
