from,to
"Pseudomonas aeruginosa","Pseudomonas aeruginosa PA121617"
"Staphylococcus caprae","Staphylococcus caprae JMUB590"
"Bosea vaviloviae","Bosea vaviloviae Vaf18"
"Coraliomargarita akajimensis","Coraliomargarita akajimensis DSM 45221"
"Planctomycetes","Planctomycetes bacterium K22_7"
"Enterobacter chengduensis","Enterobacter chengduensis WCHECl-C4 = WCHECh050004"
"Simonsiella muelleri","Simonsiella muelleri ATCC 29453"
"Natrinema pallidum","Natrinema pallidum BOL6-1"
"Bifidobacterium","Bifidobacterium pseudocatenulatum"
"Weissella cibaria","Weissella cibaria CBA3612"
"Halorubraceae","Salinigranum"
"Bifidobacterium breve","Bifidobacterium breve 017W439"
"Bradyrhizobium diazoefficiens","Bradyrhizobium diazoefficiens NK6"
"Klebsiella pneumoniae","Klebsiella pneumoniae subsp. pneumoniae SA-KpST14"
"Streptococcus suis","Streptococcus suis ZY05719"
"Halobacteroidaceae","Halobacteroides"
"Klebsiella pneumoniae","Klebsiella pneumoniae subsp. pneumoniae M5"
"Staphylococcus aureus","Staphylococcus aureus MI"
"Xanthomonas citri","Xanthomonas citri pv. citri jx4"
"Bacillus amyloliquefaciens","Bacillus amyloliquefaciens ALB65"
"Staphylococcus pseudintermedius","Staphylococcus pseudintermedius HSP080"
"Candidatus Protochlamydia","Candidatus Protochlamydia amoebophila"
"Enterobacter cloacae","Enterobacter cloacae WP8-W18-CRE-04"
"Spiroplasma","Spiroplasma kunkelii"
"Enterobacter hormaechei","Enterobacter hormaechei Eho-6"
"Desulfovibrio vulgaris","Desulfovibrio vulgaris DP4"
"Elizabethkingia bruuniana","Elizabethkingia bruuniana ATCC 33958"
"Klebsiella pneumoniae","Klebsiella pneumoniae subsp. pneumoniae KP-8788"
"Alistipes","Alistipes dispar"
"Alteromonas mediterranea","Alteromonas mediterranea U8"
"Mycoplasma synoviae","Mycoplasma synoviae 86079-7NS"
"Staphylococcus aureus","Staphylococcus aureus ST20130945"
"Xanthomonadaceae","Stenotrophomonas"
"Bacillus anthracis","Bacillus anthracis STI1"
"Enterococcus","Enterococcus rotai"
"Frischella perrara","Frischella perrara PEB0191"
"Vibrio vulnificus","Vibrio vulnificus FORC_017"
"Caedimonadaceae","Candidatus Nucleicultrix"
"Acidipropionibacterium acidipropionici","Acidipropionibacterium acidipropionici ATCC 55737"
"Chthonomonas calidirosea","Chthonomonas calidirosea T49"
"Bordetella holmesii","Bordetella holmesii F593"
"Phaeobacter inhibens","Phaeobacter inhibens P80"
"Amycolatopsis","Amycolatopsis japonica"
"Borrelia","Borrelia turcica"
"Microcystis","Microcystis viridis"
