name,sysname,reaction
"2.4.1.82","alpha-D-galactosyl-(1->3)-1D-myo-inositol:sucrose 6-alpha-D-galactosyltransferase","alpha-D-galactosyl-(1->3)-1D-myo-inositol + sucrose = myo-inositol + raffinose [RN:R02411 R06071]"
"2.4.1.285","UDP-N-acetyl-alpha-D-glucosamine:ribostamycin N-acetylglucosaminyltransferase","UDP-N-acetyl-alpha-D-glucosamine + ribostamycin = UDP + 2'''-acetyl-6'''-hydroxyneomycin C [RN:R08900]"
"2.4.99.19","tritrans,heptacis-undecaprenyl-diphosphooligosaccharide:protein-L-asparagine N-beta-D-oligosaccharidotransferase","tritrans,heptacis-undecaprenyl diphosphooligosaccharide + [protein]-L-asparagine = tritrans,heptacis-undecaprenyl diphosphate + a glycoprotein with the oligosaccharide chain attached by N-beta-D-glycosyl linkage to protein L-asparagine"
"3.2.1.185","beta-L-arabinofuranoside non-reducing end beta-L-arabinofuranosidase","beta-L-arabinofuranosyl-(1->2)-beta-L-arabinofuranose + H2O = 2 beta-L-arabinofuranose [RN:R10346]"
"2.4.1.217","GDP-mannose:3-phospho-D-glycerate 3-alpha-D-mannosyltransferase","GDP-mannose + 3-phospho-D-glycerate = GDP + 2-(alpha-D-mannosyl)-3-phosphoglycerate [RN:R05768]"
"3.2.1.41","pullulan 6-alpha-glucanohydrolase","Hydrolysis of (1->6)-alpha-D-glucosidic linkages in pullulan, amylopectin and glycogen, and in the alpha- and beta-limit dextrins of amylopectin and glycogen"
"3.2.1.154","(2->6)-beta-D-fructan fructohydrolase","Hydrolysis of terminal, non-reducing (2->6)-linked beta-D-fructofuranose residues in fructans"
"2.4.1.321","4-O-beta-D-glucopyranosyl-D-gluconate:phosphate alpha-D-glucosyltransferase","4-O-beta-D-glucopyranosyl-D-gluconate + phosphate = alpha-D-glucose 1-phosphate + D-gluconate [RN:R10832]"
"3.2.1.53","beta-N-acetyl-D-galactosaminide N-acetylgalactosaminohydrolase","Hydrolysis of terminal non-reducing N-acetyl-D-galactosamine residues in N-acetyl-beta-D-galactosaminides"
"2.4.1.135","UDP-alpha-D-glucuronate:[protein]-3-O-(beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl)-L-serine D-glucuronosyltransferase (configuration-inverting)","UDP-alpha-D-glucuronate + [protein]-3-O-(beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosyl)-L-serine = UDP + [protein]-3-O-(beta-D-GlcA-(1->3)-beta-D-Gal-(1->3)-beta-D-Gal-(1->4)-beta-D-Xyl)-L-serine [RN:R04607 R05928]"
"2.4.1.253","UDP-D-glucuronate:5,6,7-trihydroxyflavone 7-O-glucuronosyltransferase","UDP-D-glucuronate + baicalein = UDP + baicalin [RN:R09529]"
"3.2.1.11","6-alpha-D-glucan 6-glucanohydrolase","Endohydrolysis of (1->6)-alpha-D-glucosidic linkages in dextran"
"3.2.1.108","lactose galactohydrolase","lactose + H2O = D-galactose + D-glucose [RN:R01100 R06114]"
"2.4.1.258","dolichyl beta-D-mannosyl phosphate:alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol 3-alpha-D-mannosyltransferase (configuration-inverting)","dolichyl beta-D-mannosyl phosphate + alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol = alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->3)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol + dolichyl phosphate [RN:R06258]"
"2.4.99.1","CMP-N-acetyl-beta-neuraminate:beta-D-galactoside alpha-(2->6)-N-acetylneuraminyltransferase (configuration-inverting)","CMP-N-acetyl-beta-neuraminate + beta-D-galactosyl-R = CMP + N-acetyl-alpha-neuraminyl-(2->6)-beta-D-galactosyl-R [RN:R04532 R06188]"
"2.3.1.20","acyl-CoA:1,2-diacyl-sn-glycerol O-acyltransferase","acyl-CoA + 1,2-diacyl-sn-glycerol = CoA + triacylglycerol [RN:R02251]"
"2.4.1.161","(1->4)-alpha-D-glucan:(1->4)-alpha-D-glucan 4-alpha-D-glucosyltransferase","Transfers the non-reducing terminal alpha-D-glucose residue from a (1->4)-alpha-D-glucan to the 4-position of a free glucose or of a glucosyl residue at the non-reducing terminus of a (1->4)-alpha-D-glucan, thus bringing about the rearrangement of oligosaccharides"
"2.4.1.256","dolichyl beta-D-glucosyl phosphate:alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol alpha-1,2-glucosyltransferase (configuration-retaining)","dolichyl beta-D-glucosyl phosphate + alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol = dolichyl phosphate + alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol [RN:R06264]"
"2.4.2.38","UDP-alpha-D-xylose:N4-{beta-D-GlcNAc-(1->2)-alpha-D-mannosyl-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-mannosyl-(1->6)]-beta-D-mannosyl-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] 2-beta-D-xylosyltransferase (configuration-inverting)","UDP-alpha-D-xylose + N4-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] = UDP + N4-{beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-alpha-D-Man-(1->6)]-[beta-D-Xyl-(1->2)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] [RN:R06016]"
"2.4.1.257","GDP-alpha-D-mannose:alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol 6-alpha-D-mannosyltransferase (configuration-retaining)","GDP-alpha-D-mannose + alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol = GDP + alpha-D-Man-(1->3)-[alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-alpha-D-GlcNAc-diphosphodolichol [RN:R06238]"
"1.11.1.14","1-(3,4-dimethoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol:hydrogen-peroxide oxidoreductase","(1) 1-(3,4-dimethoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol + H2O2 = 3,4-dimethoxybenzaldehyde + 2-methoxyphenol + glycolaldehyde + H2O [RN:R11501];"
"3.2.1.35","hyaluronate 4-glycanohydrolase","Random hydrolysis of (1->4)-linkages between N-acetyl-beta-D-glucosamine and D-glucuronate residues in hyaluronate"
"3.2.1.170","2-O-(alpha-D-mannopyranosyl)-D-glycerate D-mannohydrolase","2-O-(alpha-D-mannopyranosyl)-D-glycerate + H2O = D-mannopyranose + D-glycerate [RN:R12095]"
"3.2.1.101","6-alpha-D-mannan mannanohydrolase","Random hydrolysis of (1->6)-alpha-D-mannosidic linkages in unbranched (1->6)-mannans"
"2.4.1.275","UDP-alpha-D-galactose:N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide 4-beta-D-galactosyltransferase","UDP-alpha-D-galactose + N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide = UDP + beta-D-galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide [RN:R05977 R09755]"
"3.2.1.211","poly[(1->3)-alpha-L-fucoside-2/4-sulfate] glycanohydrolase","endohydrolysis of (1->3)-alpha-L-fucoside linkages in fucan"
