from,to
"Bacillus thuringiensis","Bacillus thuringiensis FDAARGOS_796"
"Alcaligenes faecalis","Alcaligenes faecalis AU14"
"Yersinia bercovieri","Yersinia bercovieri ATCC 43970"
"Alteromonas mediterranea","Alteromonas mediterranea DE"
"Gloeobacter violaceus","Gloeobacter violaceus PCC 7421"
"Paenibacillus sp. FSL R5-0912","Paenibacillus sp. FSL R5-0912"
"Clavibacter michiganensis","Clavibacter michiganensis subsp. capsici 1207"
"Bradyrhizobium diazoefficiens","Bradyrhizobium diazoefficiens XF2"
"Sinorhizobium meliloti","Sinorhizobium meliloti KH35c"
"Campylobacter jejuni","Campylobacter jejuni subsp. doylei NCTC11925"
"Shigella sonnei","Shigella sonnei UKMCC_1015"
"Candidatus Methylopumilus universalis","Candidatus Methylopumilus universalis MMS-RIV-52"
"Brucella canis","Brucella canis RM6/66"
"Legionella spiritensis","Legionella spiritensis NCTC12082"
"Desulfovibrio vulgaris","Desulfovibrio vulgaris RCH1"
"Escherichia coli","Escherichia coli 20Ec-P-124"
"Staphylococcus aureus","Staphylococcus aureus AR_0219"
"Methyloprofundus sp.","Methyloprofundus sp."
"Staphylococcus aureus","Staphylococcus aureus CFSAN064038"
"Grimontia hollisae","Grimontia hollisae ATCC 33564"
"Exiguobacterium sp. MH3","Exiguobacterium sp. MH3"
"Halogeometricum borinquense","Halogeometricum borinquense DSM 11551"
"Serratia marcescens","Serratia marcescens N4-5"
"Bacillus subtilis","Bacillus subtilis HDZK-BYSB7"
"Mycobacterium tuberculosis","Mycobacterium tuberculosis CDC1551"
"Salmonella enterica","Salmonella enterica SESen3709"
"Citrobacter portucalensis","Citrobacter portucalensis FDAARGOS_617"
"Staphylococcus aureus","Staphylococcus aureus AR_0222"
"Staphylococcus aureus","Staphylococcus aureus P1D12C1"
"Campylobacter sputorum","Campylobacter sputorum bv. faecalis CCUG 20703"
"Acinetobacter baumannii","Acinetobacter baumannii NCGM 237"
"Klebsiella pneumoniae","Klebsiella pneumoniae KP-1"
"Avibacterium paragallinarum","Avibacterium paragallinarum ADL-AP17"
"Salinispora tropica","Salinispora tropica CNB-440"
"Comamonas testosteroni","Comamonas testosteroni CNB-2 CNB-1"
"Xanthomonas citri","Xanthomonas citri pv. phaseoli var. fuscans CFBP6990"
"Klebsiella pneumoniae","Klebsiella pneumoniae AR_0129"
"Bordetella pertussis","Bordetella pertussis I498"
"Neisseria gonorrhoeae","Neisseria gonorrhoeae TCDC-NG08107"
"Tessaracoccus defluvii","Tessaracoccus defluvii JCM 17540"
"Weissella thailandensis","Weissella thailandensis fsh4-2"
"Georgenia sp. Z443","Georgenia sp. Z443"
"Legionella israelensis","Legionella israelensis HL-0427-4011"
"Mycoplasma pneumoniae","Mycoplasma pneumoniae 11-994"
"Alteromonas mediterranea","Alteromonas mediterranea U4"
"Escherichia coli","Escherichia coli 4/2-1"
"Staphylococcus aureus","Staphylococcus aureus 14732"
"Capnocytophaga canimorsus","Capnocytophaga canimorsus Cc5"
"Magnetospira sp. QH-2","Magnetospira sp. QH-2"
"Microvirgula aerodenitrificans","Microvirgula aerodenitrificans BE2.4"
"Devosia sp. H5989","Devosia sp. H5989"
"Dictyoglomus turgidum","Dictyoglomus turgidum DSM 6724"
