name,taxid,rank
"Bacteria","2","superkingdom"
"Firmicutes","1239","phylum"
"Bacilli","91061","class"
"Lactobacillales","186826","order"
"Lactobacillaceae","33958","family"
"Acetilactobacillus","2767874","genus"
"Acetilactobacillus jinshanensis","1720083","species"
"Acidobacteria","57723","phylum"
"Holophagae","533205","class"
"Acanthopleuribacterales","533206","order"
"Acanthopleuribacteraceae","533207","family"
"Clostridia","186801","class"
"Eubacteriales","186802","order"
"Oscillospiraceae","216572","family"
"Acetivibrio","35829","genus"
"Acetivibrio saccincola","1677857","species"
"Peptostreptococcaceae","186804","family"
"Acetoanaerobium","186831","genus"
"Acetoanaerobium sticklandii","1511","species"
"Abyssogena phaseoliformis symbiont","596095","species"
"Erysipelotrichia","526524","class"
"Erysipelotrichales","526525","order"
"Erysipelotrichaceae","128827","family"
"Absiella","2057233","genus"
"Absiella argi","1671597","species"
"Cyanobacteria","1117","phylum"
"Synechococcales","1890424","order"
"Acaryochloridaceae","1890429","family"
"Acaryochloris","155977","genus"
"Acaryochloris marina","155978","species"
"Proteobacteria","1224","phylum"
"Alphaproteobacteria","28211","class"
"Rhodospirillales","204441","order"
"Acetobacteraceae","433","family"
"Acetobacter","434","genus"
"Acetobacter ascendens","481146","species"
"Acetobacter ghanensis","431306","species"
"Acetobacter aceti","435","species"
"Acetobacter oryzifermentans","1633874","species"
"Acetobacter pasteurianus","438","species"
"Aerococcaceae","186827","family"
"Abiotrophia","46123","genus"
"Abiotrophia defectiva","46125","species"
"Acetobacter orientalis","146474","species"
"Acetobacter persici","1076596","species"
"Acetobacter oryzoeni","2500548","species"
"Acetobacter pomorum","65959","species"
"Acetobacter tropicalis","104102","species"
"Acetobacter senegalensis","446692","species"
"Acetobacteraceae bacterium","1909293","species"
"Eubacteriaceae","186806","family"
"Acetobacterium","33951","genus"
"Acetobacterium woodii","33952","species"
"Halanaerobiales","53433","order"
"Halobacteroidaceae","53434","family"
"Acetohalobium","28186","genus"
"Acetohalobium arabaticum","28187","species"
"Synergistetes","508458","phylum"
"Synergistia","649775","class"
"Synergistales","649776","order"
"Synergistaceae","649777","family"
"Acetomicrobium","49894","genus"
"Acetomicrobium mobile","97477","species"
"Tenericutes","544448","phylum"
"Mollicutes","31969","class"
"Acholeplasmatales","186329","order"
"Acholeplasmataceae","2146","family"
"Acholeplasma","2147","genus"
"Acholeplasma brassicae","61635","species"
"Acholeplasma axanthum","29552","species"
"Acholeplasma hippikon","264636","species"
"Acholeplasma palmae","38986","species"
"Acholeplasma laidlawii","2148","species"
"Betaproteobacteria","28216","class"
"Burkholderiales","80840","order"
"Alcaligenaceae","506","family"
"Achromobacter","222","genus"
"Achromobacter denitrificans","32002","species"
"Achromobacter deleyi","1353891","species"
"Achromobacter insolitus","217204","species"
"Achromobacter pestifer","1353889","species"
"Achromobacter ruhlandii","72557","species"
"Achromobacter spanius","217203","species"
"Achromobacter xylosoxidans","85698","species"
"Negativicutes","909932","class"
"Acidaminococcales","1843488","order"
"Acidaminococcaceae","909930","family"
"Acidaminococcus","904","genus"
"Acidaminococcus fermentans","905","species"
"Gammaproteobacteria","1236","class"
"Acidiferrobacterales","1692040","order"
"Acidiferrobacteraceae","1692041","family"
"Acidiferrobacter","986106","genus"
"Chromatiales","135613","order"
"Ectothiorhodospiraceae","72276","family"
"Acidihalobacter","1765964","genus"
"Acidihalobacter ferrooxydans","1765967","species"
"Acidihalobacter prosperus","160660","species"
"Actinobacteria","201174","phylum"
"Acidimicrobiia","84992","class"
"Acidimicrobiales","84993","order"
"Acidimicrobiaceae","84994","family"
"Acidimicrobium","53634","genus"
"Acidimicrobium ferrooxidans","53635","species"
"Acidiphilium","522","genus"
"Acidiphilium multivorum","62140","species"
"Actinomycetia","1760","class"
"Propionibacteriales","85009","order"
"Propionibacteriaceae","31957","family"
"Acidipropionibacterium","1912215","genus"
"Acidipropionibacterium acidipropionici","1748","species"
"Acidaminococcus intestini","187327","species"
"Acidipropionibacterium jensenii","1749","species"
"Acidiphilium cryptum","524","species"
"Acidithiobacillia","1807140","class"
"Acidithiobacillales","225057","order"
"Acidithiobacillaceae","225058","family"
"Acidithiobacillus","119977","genus"
"Acidithiobacillus caldus","33059","species"
"Acidobacteriia","204432","class"
"Acidobacteriales","204433","order"
"Acidobacteriaceae","204434","family"
"Acidisarcina","2608728","genus"
"Acidisarcina polymorpha","2211140","species"
"Acidithiobacillus ferridurans","1232575","species"
"Acidipropionibacterium virtanenii","2057246","species"
"Acidithiobacillus ferrooxidans","920","species"
"Acidithiobacillus sp. 'AMD consortium'","2614801","species"
"Acidithiobacillus thiooxidans","930","species"
"Acidobacterium","33973","genus"
"Acidobacterium capsulatum","33075","species"
"Acidothermales","1643683","order"
"Acidothermaceae","85032","family"
"Acidothermus","28048","genus"
"Acidothermus cellulolyticus","28049","species"
"Comamonadaceae","80864","family"
"Acidovorax","12916","genus"
"Acidovorax antarcticus","2743470","species"
"Acidovorax avenae","80867","species"
"Acidovorax carolinensis","553814","species"
"Acidovorax cattleyae","80868","species"
"Acidovorax citrulli","80869","species"
"Acidovorax ebreus","721785","species"
"Acidovorax monticola","1926868","species"
"Pseudomonadales","72274","order"
"Moraxellaceae","468","family"
"Acinetobacter","469","genus"
"Acinetobacter baumannii","470","species"
"Acinetobacter calcoaceticus","471","species"
"Acinetobacter cumulans","2136182","species"
"Acinetobacter chinensis","2004650","species"
"Acinetobacter dispersus","70348","species"
"Acinetobacter equi","1324350","species"
"Acinetobacter defluvii","1871111","species"
"Acinetobacter haemolyticus","29430","species"
"Acinetobacter guillouiae","106649","species"
"Acinetobacter bereziniae","106648","species"
"Acinetobacter baylyi","202950","species"
"Acinetobacter gyllenbergii","134534","species"
"Acinetobacter indicus","756892","species"
"Acinetobacter johnsonii","40214","species"
"Acinetobacter junii","40215","species"
"Acinetobacter lactucae","1785128","species"
"Acinetobacter lanii","2715163","species"
"Acinetobacter lwoffii","28090","species"
"Acinetobacter nosocomialis","106654","species"
"Acinetobacter larvae","1789224","species"
"Acinetobacter oleivorans","1148157","species"
"Acinetobacter pittii","48296","species"
"Acinetobacter piscicola","2006115","species"
"Acinetobacter radioresistens","40216","species"
"Acinetobacter schindleri","108981","species"
"Acinetobacter seifertii","1530123","species"
"Acinetobacter shaoyimingii","2715164","species"
"Acinetobacter soli","487316","species"
"Acinetobacter sp. YH12138","2601122","species"
"Acinetobacter towneri","202956","species"
"Acinetobacter ursingii","108980","species"
"Acinetobacter variabilis","70346","species"
"Acinetobacter wanghuae","2662362","species"
"Acinetobacter venetianus","52133","species"
"Acinetobacter wuhouensis","1879050","species"
"Pseudonocardiales","85010","order"
"Pseudonocardiaceae","2070","family"
"Actinoalloteichus","65496","genus"
"Actinoalloteichus fjordicus","1612552","species"
"Acinetobacter tandoii","202954","species"
"Actinoalloteichus hoggarensis","1470176","species"
"Pasteurellales","135625","order"
"Pasteurellaceae","712","family"
"Actinobacillus","713","genus"
"Actinobacillus delphinicola","51161","species"
"Actinobacillus equuli","718","species"
"Actinobacillus indolicus","51049","species"
"Actinobacillus lignieresii","720","species"
"Actinobacillus pleuropneumoniae","715","species"
"Actinobacillus porcitonsillarum","189834","species"
"Actinoalloteichus hymeniacidonis","340345","species"
"Actinobacillus suis","716","species"
"Actinobacillus succinogenes","67854","species"
"Actinomycetales","2037","order"
"Actinomycetaceae","2049","family"
"Actinomyces","1654","genus"
"Actinomyces israelii","1659","species"
"Actinomyces howellii","52771","species"
"Streptosporangiales","85012","order"
"Thermomonosporaceae","2012","family"
"Actinomadura","1988","genus"
"Actinomadura sp. WMMB 499","1219491","species"
"Micromonosporales","85008","order"
"Micromonosporaceae","28056","family"
"Actinocatenispora","390988","genus"
"Actinocatenispora thailandica","227318","species"
"Actinocatenispora sera","390989","species"
"Actinomadura verrucosospora","46165","species"
"Actinomyces oris","544580","species"
"Actinomyces radicidentis","111015","species"
"Actinomyces naeslundii","1655","species"
"Actinomyces marmotae","2737173","species"
"Actinomyces lilanjuaniae","2321394","species"
"Actinomyces slackii","52774","species"
"Actinomyces sp. oral taxon 171","706438","species"
"Actinomyces sp. oral taxon 169","712116","species"
"Actinomyces sp. oral taxon 897","2081702","species"
"Actinomyces weissii","675090","species"
"Actinomyces viscosus","1656","species"
"Actinoplanes","1865","genus"
"Actinoplanes derwentensis","113562","species"
"Actinoplanes friuliensis","196914","species"
"Actinoplanes ianthinogenes","122358","species"
"Actinoplanes missouriensis","1866","species"
"Actinomyces sp. oral taxon 414","712122","species"
"Actinosynnema","40566","genus"
"Actinosynnema pretiosum","42197","species"
"Actinotignum","1653174","genus"
"Actinotignum schaalii","59505","species"
"Actinopolysporales","622450","order"
"Actinopolysporaceae","622451","family"
"Actinopolyspora","1849","genus"
"Actinopolyspora erythraea","414996","species"
"Acutalibacter","1918385","genus"
"Acutalibacter muris","1796620","species"
"Bacteroidetes","976","phylum"
"Cytophagia","768503","class"
"Cytophagales","768507","order"
"Hymenobacteraceae","1853232","family"
"Adhaeribacter","299566","genus"
"Adhaeribacter swui","2086471","species"
"Adhaeribacter radiodurans","2745197","species"
"Actinosynnema mirum","40567","species"
"Coriobacteriia","84998","class"
"Eggerthellales","1643822","order"
