from,to
"Metallosphaera","Metallosphaera sedula"
"Cyanobium","Cyanobium gracile"
"Methylobacteriaceae","Microvirga"
"Marmoricola","Marmoricola scoriae"
"Corynebacterium","Corynebacterium lactis"
"Burkholderiaceae","Mycetohabitans"
"Rufibacter","Rufibacter sp. DG15C"
"Methanosarcinaceae","Methanococcoides"
"Epibacterium","Epibacterium mobile"
"Xanthobacter","Xanthobacter autotrophicus"
"Bifidobacterium","Bifidobacterium pseudocatenulatum"
"Propionibacteriaceae","Cutibacterium"
"Pasteurellaceae","Frederiksenia"
"Lacticaseibacillus","Lacticaseibacillus manihotivorans"
"Alphaproteobacteria","Magnetococcales"
"Alcaligenaceae","Achromobacter"
"Acaryochloridaceae","Acaryochloris"
"Mixta","Mixta intestinalis"
"Actinoplanes","Actinoplanes sp. SE50/110"
"Acutalibacter","Acutalibacter muris"
"Euzebyales","Euzebyaceae"
"Synechococcus","Synechococcus sp. KORDI-52"
"Parachlamydiaceae","Neochlamydia"
"Ferroplasma","Ferroplasma acidiphilum"
"Saccharopolyspora","Saccharopolyspora erythraea"
"Alistipes","Alistipes sp. dk3624"
"Rhodoferax","Rhodoferax sp. AJA081-3"
"Streptococcus","Streptococcus ferus"
"Gammaproteobacteria","Gammaproteobacteria bacterium"
"Thermoplasma","Thermoplasma volcanium"
"Bradyrhizobium","Bradyrhizobium sp."
"Salinibacter","Salinibacter ruber"
"Candidatus Gracilibacteria","Candidatus Gracilibacteria bacterium HOT-871"
"Streptosporangiaceae","Thermobispora"
"Pasteurellaceae","Haemophilus"
"Maricaulaceae","Glycocaulis"
"Micrococcaceae","Arthrobacter"
"Gloeobacter","Gloeobacter kilaueensis"
"Halorhabdus","Halorhabdus tiamatea"
"Archangium","Archangium violaceum"
"Dietzia","Dietzia psychralcaliphila"
"Paenibacillus","Paenibacillus lentus"
"Syntrophomonadaceae","Candidatus Syntrophocurvum"
"Corynebacterium","Corynebacterium imitans"
"Leptolyngbya","Leptolyngbya sp. PCC 7376"
"Chromatiales","Halothiobacillaceae"
"Methylibium","Methylibium petroleiphilum"
"Lysobacter","Lysobacter capsici"
"Vibrio","Vibrio mimicus"
"Desulfuromonas","Desulfuromonas soudanensis"
"Dictyoglomi","Dictyoglomia"
"Acidovorax","Acidovorax citrulli"
"Nitrososphaerales","Nitrososphaeraceae"
"Bacillus","Bacillus sp. PAMC22265"
"Calotrichaceae","Calothrix"
"Actinomycetia","Catenulisporales"
"Geobacillus","Geobacillus sp. Y412MC52"
"Xanthomonas","Xanthomonas sp. CPBF 426"
"Haloferacales","Haloferacaceae"
"Agromyces","Agromyces aureus"
"Ruegeria","Ruegeria sp. AD91A"
"Streptomyces","Streptomyces sp. W1SF4"
"Clostridiales Family XIII. Incertae Sedis","[Eubacterium] minutum"
"Hydrogenobaculum","Hydrogenobaculum sp. Y04AAS1"
"Nostoc","Nostoc sp. NIES-2111"
"Saccharolobus","Saccharolobus solfataricus"
"Halolamina","Halolamina sp. CBA1230"
"Citrobacter","Citrobacter portucalensis"
"Legionella","Legionella cherrii"
"Nitratiruptoraceae","Nitratiruptor"
"Candidatus Aquiluna","Candidatus Aquiluna sp. 15G-AUS-rot"
"Serratia","Serratia odorifera"
"Alteromonas","Alteromonas sp. Mac2"
"Serratia","Serratia sp. JKS000199"
"Epsilonproteobacteria","Campylobacterales"
"Streptomyces","Streptomyces lunaelactis"
"Lysobacter","Lysobacter alkalisoli"
"Corynebacterium","Corynebacterium cystitidis"
"Actinoplanes","Actinoplanes derwentensis"
"Halapricum","Halapricum salinum"
"Acidisarcina","Acidisarcina polymorpha"
"Bacteria","Candidatus Babeliae"
"Rickettsiales","Rickettsiales bacterium Ac37b"
"Dehalococcoides","Dehalococcoides mccartyi"
"Lactobacillaceae","Lacticaseibacillus"
"Caulobacter","Caulobacter henricii"
"Streptomyces","Streptomyces sp. CB09001"
"Raoultella","Raoultella sp. NCTC 9189"
"Planctomycetes","Planctomycetes bacterium Pan265"
"Mycetohabitans","Mycetohabitans rhizoxinica"
"Haematospirillum","Haematospirillum jordaniae"
"Flavobacteriaceae","Capnocytophaga"
"Bacillaceae","Psychrobacillus"
"Deinococcus","Deinococcus soli Cha et al. 2016"
"Jeotgalibaca","Jeotgalibaca ciconiae"
"Acidiphilium","Acidiphilium multivorum"
"Rhodobacteraceae","Paraoceanicella"
"Vulcanisaeta","Vulcanisaeta distributa"
"Pseudoxanthomonas","Pseudoxanthomonas mexicana"
"Rathayibacter","Rathayibacter sp. VKM Ac-2805"
"Brucellaceae","Ochrobactrum"
"Microcystis","Microcystis panniformis"
"Mycobacterium","Mycobacterium heidelbergense"
"Wolinella","Wolinella succinogenes"
"Haloarculaceae","Halosimplex"
"Acinetobacter","Acinetobacter sp. 10FS3-1"
"Thermomicrobiales","Thermomicrobiaceae"
"Oceanospirillales","Endozoicomonadaceae"
"Methylacidiphilum","Methylacidiphilum sp. IT6"
"Nitrosopumilus","Nitrosopumilus cobalaminigenes"
"Burkholderiales","Oxalobacteraceae"
"Oscillospiraceae","Caproicibacterium"
"Saccharothrix","Saccharothrix sp. 6-C"
"Synechococcus","Synechococcus sp. PCC 11901"
"Veillonellaceae","Dialister"
"Stigmatella","Stigmatella aurantiaca"
"Alphaproteobacteria","Micavibrio"
"Marinilactibacillus","Marinilactibacillus sp. 15R"
"Lysobacter","Lysobacter helvus"
"Clostridium","Clostridium formicaceticum"
"Mesorhizobium","Mesorhizobium sp. M4B.F.Ca.ET.058.02.1.1"
"Anaeromyxobacteraceae","Anaeromyxobacter"
"Sphaerobacter","Sphaerobacter thermophilus"
"Nitrospirales","Nitrospiraceae"
"Sphingomonas","Sphingomonas azotifigens"
"Clostridium","Clostridium ljungdahlii"
"Acholeplasma","Acholeplasma palmae"
"Mycobacteriaceae","Mycobacterium"
"Sulfurovaceae","Nitratifractor"
"Aliarcobacter","[Arcobacter] porcinus"
"Corynebacterium","Corynebacterium segmentosum"
"Burkholderia","Burkholderia seminalis"
"Vibrio","Vibrio sp. dhg"
"Actinobacillus","Actinobacillus sp. GY-402"
"Chryseobacterium","Chryseobacterium indoltheticum"
"Erythrobacter","Erythrobacter sp. KY5"
"Propionibacteriaceae","Arachnia"
"Flavobacteriaceae","Pukyongia"
"Sandaracinaceae","Sandaracinus"
"Denitrobacterium","Denitrobacterium detoxificans"
"Halorhodospira","Halorhodospira halochloris"
"Acidobacteriia","Bryobacterales"
"Paraglaciecola","Paraglaciecola psychrophila"
"Thermodesulfovibrionaceae","Thermodesulfovibrio"
"Streptomyces","Streptomyces buecherae"
"Campylobacter","Campylobacter subantarcticus"
"Vibrio","Vibrio alginolyticus"
"Thermotoga","Thermotoga neapolitana"
"Shewanella","Shewanella halifaxensis"
"Allosphingosinicella","Allosphingosinicella indica"
"Nitrososphaera","Nitrososphaera viennensis"
"Nocardiopsaceae","Thermobifida"
"Glaciihabitans","Glaciihabitans sp. INWT7"
"Shimwellia","Shimwellia blattae"
"Burkholderiaceae","Polynucleobacter"
"Legionella","Legionella oakridgensis"
"Stenotrophomonas","Stenotrophomonas sp. WZN-1"
"Pontibacillus","Pontibacillus sp. ALD_SL1"
"Colwellia","Colwellia sp. PAMC 21821"
"Methanomicrobiales","Methanocorpusculaceae"
"Calycomorphotria","Calycomorphotria hydatis"
"Yersinia","Yersinia sp. KBS0713"
"Actinomycetaceae","Actinomyces"
"Actinomyces","Actinomyces sp. oral taxon 414"
"Endomicrobia","Endomicrobiales"
"Caldibacillus","Caldibacillus thermoamylovorans"
"Methylomonas","Methylomonas sp. LW13"
"Methanothermobacter","Methanothermobacter marburgensis"
"Acidipropionibacterium","Acidipropionibacterium virtanenii"
"Rhodococcus","Rhodococcus sp. S2-17"
"Octadecabacter","Octadecabacter sp. SW4"
"Deltaproteobacteria","Desulfobacterales"
"Lysobacter","Lysobacter solisilvae"
"Arthrobacter","Arthrobacter sp. TES"
"Candidatus Sneabacter","Candidatus Sneabacter namystus"
"Sphingobacterium","Sphingobacterium sp. dk4302"
"Streptomyces","Streptomyces cavourensis"
"Paenibacillus","Paenibacillus sp. JDR-2"
"Mycoplasma","Mycoplasma anserisalpingitidis"
"Erythrobacteraceae","Qipengyuania"
