from,to
"Empedobacter falsenii","Empedobacter falsenii 1681-1"
"Gillisia sp. Hel1_33_143","Gillisia sp. Hel1_33_143"
"Flavobacterium columnare","Flavobacterium columnare F2S17"
"Elizabethkingia anophelis","Elizabethkingia anophelis 296-96"
"Sphingobacterium spiritivorum","Sphingobacterium spiritivorum FDAARGOS_1145"
"Antarcticibacterium arcticum","Antarcticibacterium arcticum PAMC 28998"
"Porphyromonas gingivalis","Porphyromonas gingivalis KCOM 2801"
"Arachidicoccus ginsenosidivorans","Arachidicoccus ginsenosidivorans Gsoil 809"
"Odoribacter splanchnicus","Odoribacter splanchnicus NCTC10825"
"Blattabacterium sp. (Periplaneta americana)","Blattabacterium sp. (Periplaneta americana) str. BPLAN"
"Flavobacterium gilvum","Flavobacterium gilvum EM1308"
"Flavobacterium psychrophilum","Flavobacterium psychrophilum FPS-S11A"
"Flavobacterium psychrophilum","Flavobacterium psychrophilum P15/8B-11"
"Prevotella melaninogenica","Prevotella melaninogenica GAI 07411"
"Pedobacter roseus","Pedobacter roseus KACC 11594"
"Hymenobacter sp. APR13","Hymenobacter sp. APR13"
"Echinicola strongylocentroti","Echinicola strongylocentroti MEBiC08714"
"Dyadobacter sp. Q3-56","Dyadobacter sp. Q3-56"
"Mesoflavibacter sp. HG37","Mesoflavibacter sp. HG37"
"Flavobacteriaceae bacterium 10Alg115","Flavobacteriaceae bacterium 10Alg115"
"Kaistella antarctica","Kaistella antarctica NCTC13489"
"Bacteroides xylanisolvens","Bacteroides xylanisolvens funn3"
"Chryseobacterium sp. FDAARGOS 1104","Chryseobacterium sp. FDAARGOS 1104"
"Prevotella intermedia","Prevotella intermedia KCOM 1944"
"Winogradskyella sp. PG-2","Winogradskyella sp. PG-2"
"Chryseobacterium sp. SNU WT7","Chryseobacterium sp. SNU WT7"
"Pedobacter cryoconitis","Pedobacter cryoconitis PAMC 27485"
"Flavobacteriaceae bacterium UJ101","Flavobacteriaceae bacterium UJ101"
"Rhodocytophaga rosea","Rhodocytophaga rosea 172606-1"
"Riemerella anatipestifer","Riemerella anatipestifer WJ4"
"Algibacter alginicilyticus","Algibacter alginicilyticus HZ22"
"Bacteroides fragilis","Bacteroides fragilis DCMOUH0085B"
"Candidatus Cardinium hertigii","Candidatus Cardinium hertigii cHgTN10"
"Formosa sp. Hel1_33_131","Formosa sp. Hel1_33_131"
"Flavobacterium psychrophilum","Flavobacterium psychrophilum 030522-1/1"
"Salegentibacter sp. T436","Salegentibacter sp. T436"
"Capnocytophaga sputigena","Capnocytophaga sputigena KC1668"
"Flavobacterium commune","Flavobacterium commune PK15"
"Mucilaginibacter mali","Mucilaginibacter mali G2-14"
"Paludibacter propionicigenes","Paludibacter propionicigenes WB4"
"Elizabethkingia bruuniana","Elizabethkingia bruuniana FDAARGOS_1031"
"Chryseobacterium cucumeris","Chryseobacterium cucumeris MW-6"
"Porphyromonas gingivalis","Porphyromonas gingivalis TDC60"
"Elizabethkingia ursingii","Elizabethkingia ursingii G4123"
"Solitalea canadensis","Solitalea canadensis DSM 3403"
"Porphyromonas gingivalis","Porphyromonas gingivalis KCOM 3001"
"Alistipes onderdonkii","Alistipes onderdonkii subsp. vulgaris 3BBH6"
"Phocaeicola dorei","Phocaeicola dorei DSM 17855"
"Ornithobacterium rhinotracheale","Ornithobacterium rhinotracheale ORT-UMN 88"
"Hymenobacter swuensis","Hymenobacter swuensis DY53"
"Flagellimonas maritima","Flagellimonas maritima HME9304"
"Lutibacter profundi","Lutibacter profundi LP1"
"Tamlana sp. s12","Tamlana sp. s12"
"Pseudopedobacter saltans","Pseudopedobacter saltans DSM 12145"
"Porphyromonas gingivalis","Porphyromonas gingivalis KCOM 3131"
"Bacteroides ovatus","Bacteroides ovatus ATCC 8483"
"Bacteroides fragilis","Bacteroides fragilis FDAARGOS_763"
"Cyclobacterium marinum","Cyclobacterium marinum DSM 745"
"Chryseobacterium gleum","Chryseobacterium gleum NCTC11432"
"Dysgonomonas sp. HDW5A","Dysgonomonas sp. HDW5A"
"Flavobacterium psychrophilum","Flavobacterium psychrophilum V4-24"
"Emticicia oligotrophica","Emticicia oligotrophica DSM 17448"
"Spirosoma linguale","Spirosoma linguale DSM 74"
"Flavobacterium columnare","Flavobacterium columnare F9R75"
"Elizabethkingia meningoseptica","Elizabethkingia meningoseptica G4120"
"Sphingobacterium sp. DR205","Sphingobacterium sp. DR205"
"Elizabethkingia anophelis","Elizabethkingia anophelis AR6-8"
"Elizabethkingia anophelis","Elizabethkingia anophelis CSID_3000521207"
"Flavobacterium psychrophilum","Flavobacterium psychrophilum Z2"
"Porphyromonas gingivalis","Porphyromonas gingivalis KCOM 2803"
