from,to,amount
"Adhaeribacter swui KCTC 52873","GH1",3
"Adhaeribacter swui KCTC 52873","GH2",2
"Adhaeribacter swui KCTC 52873","GH3",4
"Adhaeribacter swui KCTC 52873","GH5",4
"Adhaeribacter swui KCTC 52873","GH9",2
"Adhaeribacter swui KCTC 52873","GH10",1
"Adhaeribacter swui KCTC 52873","GH13",7
"Adhaeribacter swui KCTC 52873","GH15",2
"Adhaeribacter swui KCTC 52873","GH16",3
"Adhaeribacter swui KCTC 52873","GH18",1
"Adhaeribacter swui KCTC 52873","GH20",7
"Adhaeribacter swui KCTC 52873","GH23",3
"Adhaeribacter swui KCTC 52873","GH25",1
"Adhaeribacter swui KCTC 52873","GH26",2
"Adhaeribacter swui KCTC 52873","GH29",2
"Adhaeribacter swui KCTC 52873","GH31",1
"Adhaeribacter swui KCTC 52873","GH32",1
"Adhaeribacter swui KCTC 52873","GH33",2
"Adhaeribacter swui KCTC 52873","GH36",1
"Adhaeribacter swui KCTC 52873","GH37",1
"Adhaeribacter swui KCTC 52873","GH39",1
"Adhaeribacter swui KCTC 52873","GH43",12
"Adhaeribacter swui KCTC 52873","GH51",1
"Adhaeribacter swui KCTC 52873","GH65",1
"Adhaeribacter swui KCTC 52873","GH67",1
"Adhaeribacter swui KCTC 52873","GH77",1
"Adhaeribacter swui KCTC 52873","GH88",3
"Adhaeribacter swui KCTC 52873","GH95",2
"Adhaeribacter swui KCTC 52873","GH97",2
"Adhaeribacter swui KCTC 52873","GH105",1
"Adhaeribacter swui KCTC 52873","GH109",2
"Adhaeribacter swui KCTC 52873","GH113",1
"Adhaeribacter swui KCTC 52873","GH130",1
"Adhaeribacter swui KCTC 52873","GH140",2
"Adhaeribacter swui KCTC 52873","GH144",2
"Adhaeribacter swui KCTC 52873","GH158",2
"Adhaeribacter swui KCTC 52873","GH171",1
"Adhaeribacter swui KCTC 52873","GH0",7
"Adhaeribacter swui KCTC 52873","GT1",1
"Adhaeribacter swui KCTC 52873","GT2",30
"Adhaeribacter swui KCTC 52873","GT3",1
"Adhaeribacter swui KCTC 52873","GT4",25
"Adhaeribacter swui KCTC 52873","GT5",1
"Adhaeribacter swui KCTC 52873","GT9",3
"Adhaeribacter swui KCTC 52873","GT14",1
"Adhaeribacter swui KCTC 52873","GT19",1
"Adhaeribacter swui KCTC 52873","GT20",1
"Adhaeribacter swui KCTC 52873","GT26",2
"Adhaeribacter swui KCTC 52873","GT28",1
"Adhaeribacter swui KCTC 52873","GT30",1
"Adhaeribacter swui KCTC 52873","GT35",1
"Adhaeribacter swui KCTC 52873","GT51",5
"Adhaeribacter swui KCTC 52873","GT0",6
"Adhaeribacter swui KCTC 52873","PL38",9
"Adhaeribacter swui KCTC 52873","CE4",1
"Adhaeribacter swui KCTC 52873","CE6",1
"Adhaeribacter swui KCTC 52873","CE7",1
"Adhaeribacter swui KCTC 52873","CE9",1
"Adhaeribacter swui KCTC 52873","CE11",1
"Adhaeribacter swui KCTC 52873","CE14",1
"Adhaeribacter swui KCTC 52873","CE15",2
"Adhaeribacter swui KCTC 52873","CE0",8
"Adhaeribacter swui KCTC 52873","CBM6",4
"Adhaeribacter swui KCTC 52873","CBM35",6
"Adhaeribacter swui KCTC 52873","CBM38",1
"Adhaeribacter swui KCTC 52873","CBM48",8
"Adhaeribacter swui KCTC 52873","CBM50",11
"Adhaeribacter swui KCTC 52873","CBM57",18
"Adhaeribacter radiodurans KUDC8001","GH1",5
"Adhaeribacter radiodurans KUDC8001","GH2",2
"Adhaeribacter radiodurans KUDC8001","GH3",3
"Adhaeribacter radiodurans KUDC8001","GH5",5
"Adhaeribacter radiodurans KUDC8001","GH9",2
"Adhaeribacter radiodurans KUDC8001","GH10",1
"Adhaeribacter radiodurans KUDC8001","GH13",8
"Adhaeribacter radiodurans KUDC8001","GH15",2
"Adhaeribacter radiodurans KUDC8001","GH16",2
"Adhaeribacter radiodurans KUDC8001","GH18",3
"Adhaeribacter radiodurans KUDC8001","GH20",6
"Adhaeribacter radiodurans KUDC8001","GH23",3
"Adhaeribacter radiodurans KUDC8001","GH25",1
"Adhaeribacter radiodurans KUDC8001","GH26",2
"Adhaeribacter radiodurans KUDC8001","GH28",2
"Adhaeribacter radiodurans KUDC8001","GH29",2
"Adhaeribacter radiodurans KUDC8001","GH30",1
"Adhaeribacter radiodurans KUDC8001","GH31",3
"Adhaeribacter radiodurans KUDC8001","GH32",3
"Adhaeribacter radiodurans KUDC8001","GH33",1
"Adhaeribacter radiodurans KUDC8001","GH35",3
"Adhaeribacter radiodurans KUDC8001","GH36",1
"Adhaeribacter radiodurans KUDC8001","GH37",1
"Adhaeribacter radiodurans KUDC8001","GH39",1
"Adhaeribacter radiodurans KUDC8001","GH43",16
"Adhaeribacter radiodurans KUDC8001","GH51",2
"Adhaeribacter radiodurans KUDC8001","GH53",1
"Adhaeribacter radiodurans KUDC8001","GH65",1
"Adhaeribacter radiodurans KUDC8001","GH67",1
"Adhaeribacter radiodurans KUDC8001","GH77",1
"Adhaeribacter radiodurans KUDC8001","GH78",1
"Adhaeribacter radiodurans KUDC8001","GH88",3
"Adhaeribacter radiodurans KUDC8001","GH95",3
"Adhaeribacter radiodurans KUDC8001","GH97",2
"Adhaeribacter radiodurans KUDC8001","GH105",2
"Adhaeribacter radiodurans KUDC8001","GH106",1
"Adhaeribacter radiodurans KUDC8001","GH109",2
"Adhaeribacter radiodurans KUDC8001","GH113",1
"Adhaeribacter radiodurans KUDC8001","GH127",2
"Adhaeribacter radiodurans KUDC8001","GH130",1
"Adhaeribacter radiodurans KUDC8001","GH140",2
"Adhaeribacter radiodurans KUDC8001","GH144",2
"Adhaeribacter radiodurans KUDC8001","GH154",1
"Adhaeribacter radiodurans KUDC8001","GH158",2
"Adhaeribacter radiodurans KUDC8001","GH163",1
"Adhaeribacter radiodurans KUDC8001","GH171",1
"Adhaeribacter radiodurans KUDC8001","GH0",9
"Adhaeribacter radiodurans KUDC8001","GT1",1
"Adhaeribacter radiodurans KUDC8001","GT2",41
"Adhaeribacter radiodurans KUDC8001","GT3",1
"Adhaeribacter radiodurans KUDC8001","GT4",27
"Adhaeribacter radiodurans KUDC8001","GT5",1
"Adhaeribacter radiodurans KUDC8001","GT9",3
"Adhaeribacter radiodurans KUDC8001","GT19",1
"Adhaeribacter radiodurans KUDC8001","GT20",1
"Adhaeribacter radiodurans KUDC8001","GT28",1
"Adhaeribacter radiodurans KUDC8001","GT30",1
"Adhaeribacter radiodurans KUDC8001","GT35",1
"Adhaeribacter radiodurans KUDC8001","GT51",5
"Adhaeribacter radiodurans KUDC8001","GT0",4
"Adhaeribacter radiodurans KUDC8001","PL9",1
"Adhaeribacter radiodurans KUDC8001","PL38",3
"Adhaeribacter radiodurans KUDC8001","CE1",1
"Adhaeribacter radiodurans KUDC8001","CE4",1
"Adhaeribacter radiodurans KUDC8001","CE6",1
"Adhaeribacter radiodurans KUDC8001","CE7",1
"Adhaeribacter radiodurans KUDC8001","CE8",2
"Adhaeribacter radiodurans KUDC8001","CE9",1
"Adhaeribacter radiodurans KUDC8001","CE11",1
"Adhaeribacter radiodurans KUDC8001","CE12",3
"Adhaeribacter radiodurans KUDC8001","CE14",2
"Adhaeribacter radiodurans KUDC8001","CE15",2
"Adhaeribacter radiodurans KUDC8001","CE0",7
"Adhaeribacter radiodurans KUDC8001","CBM6",5
"Adhaeribacter radiodurans KUDC8001","CBM13",1
"Adhaeribacter radiodurans KUDC8001","CBM32",2
"Adhaeribacter radiodurans KUDC8001","CBM35",5
"Adhaeribacter radiodurans KUDC8001","CBM38",1
"Adhaeribacter radiodurans KUDC8001","CBM48",7
"Adhaeribacter radiodurans KUDC8001","CBM50",11
"Adhaeribacter radiodurans KUDC8001","CBM57",16
"Adhaeribacter radiodurans KUDC8001","CBM67",1
"Adhaeribacter radiodurans KUDC8001","CBM0",1
"Aequorivita sp. H23M31","GH1",2
"Aequorivita sp. H23M31","GH2",2
"Aequorivita sp. H23M31","GH3",1
"Aequorivita sp. H23M31","GH5",1
"Aequorivita sp. H23M31","GH20",1
"Aequorivita sp. H23M31","GH23",2
"Aequorivita sp. H23M31","GH73",1
"Aequorivita sp. H23M31","GH92",1
"Aequorivita sp. H23M31","GH130",2
"Aequorivita sp. H23M31","GH171",1
"Aequorivita sp. H23M31","GH0",1
"Aequorivita sp. H23M31","GT2",29
"Aequorivita sp. H23M31","GT4",21
"Aequorivita sp. H23M31","GT5",1
"Aequorivita sp. H23M31","GT9",2
"Aequorivita sp. H23M31","GT19",1
"Aequorivita sp. H23M31","GT26",1
"Aequorivita sp. H23M31","GT28",1
"Aequorivita sp. H23M31","GT30",1
"Aequorivita sp. H23M31","GT51",3
"Aequorivita sp. H23M31","GT0",4
"Aequorivita sp. H23M31","CE4",1
"Aequorivita sp. H23M31","CE11",1
"Aequorivita sp. H23M31","CE14",1
"Aequorivita sp. H23M31","CBM50",7
"Aequorivita sp. KX20305","GH3",1
"Aequorivita sp. KX20305","GH23",2
"Aequorivita sp. KX20305","GH73",1
"Aequorivita sp. KX20305","GH113",1
"Aequorivita sp. KX20305","GT2",29
"Aequorivita sp. KX20305","GT4",19
"Aequorivita sp. KX20305","GT5",1
"Aequorivita sp. KX20305","GT19",1
"Aequorivita sp. KX20305","GT28",1
"Aequorivita sp. KX20305","GT30",1
"Aequorivita sp. KX20305","GT51",4
"Aequorivita sp. KX20305","GT0",1
"Aequorivita sp. KX20305","CE4",2
"Aequorivita sp. KX20305","CE11",1
"Aequorivita sp. KX20305","CE14",1
"Aequorivita sp. KX20305","CBM47",2
"Aequorivita sp. KX20305","CBM50",5
"Aequorivita sublithincola DSM 14238","GH2",1
"Aequorivita sublithincola DSM 14238","GH3",1
"Aequorivita sublithincola DSM 14238","GH20",1
"Aequorivita sublithincola DSM 14238","GH23",2
"Aequorivita sublithincola DSM 14238","GH73",1
"Aequorivita sublithincola DSM 14238","GH92",2
"Aequorivita sublithincola DSM 14238","GH113",1
"Aequorivita sublithincola DSM 14238","GH114",1
"Aequorivita sublithincola DSM 14238","GH171",1
"Aequorivita sublithincola DSM 14238","GT2",27
"Aequorivita sublithincola DSM 14238","GT4",18
"Aequorivita sublithincola DSM 14238","GT5",1
"Aequorivita sublithincola DSM 14238","GT9",2
"Aequorivita sublithincola DSM 14238","GT19",1
"Aequorivita sublithincola DSM 14238","GT26",1
"Aequorivita sublithincola DSM 14238","GT28",1
"Aequorivita sublithincola DSM 14238","GT30",1
"Aequorivita sublithincola DSM 14238","GT51",3
"Aequorivita sublithincola DSM 14238","GT0",1
"Aequorivita sublithincola DSM 14238","CE4",2
"Aequorivita sublithincola DSM 14238","CE11",1
"Aequorivita sublithincola DSM 14238","CE14",1
"Aequorivita sublithincola DSM 14238","CBM50",4
"Algoriphagus sanaruensis M8-2","GH2",1
"Algoriphagus sanaruensis M8-2","GH3",5
"Algoriphagus sanaruensis M8-2","GH9",1
"Algoriphagus sanaruensis M8-2","GH10",1
"Algoriphagus sanaruensis M8-2","GH13",5
"Algoriphagus sanaruensis M8-2","GH16",3
"Algoriphagus sanaruensis M8-2","GH18",2
"Algoriphagus sanaruensis M8-2","GH20",3
"Algoriphagus sanaruensis M8-2","GH23",4
"Algoriphagus sanaruensis M8-2","GH25",1
"Algoriphagus sanaruensis M8-2","GH29",1
"Algoriphagus sanaruensis M8-2","GH30",1
"Algoriphagus sanaruensis M8-2","GH31",1
"Algoriphagus sanaruensis M8-2","GH32",1
"Algoriphagus sanaruensis M8-2","GH33",3
"Algoriphagus sanaruensis M8-2","GH43",1
"Algoriphagus sanaruensis M8-2","GH57",1
"Algoriphagus sanaruensis M8-2","GH67",1
"Algoriphagus sanaruensis M8-2","GH88",1
"Algoriphagus sanaruensis M8-2","GH97",2
"Algoriphagus sanaruensis M8-2","GH109",1
"Algoriphagus sanaruensis M8-2","GH113",1
"Algoriphagus sanaruensis M8-2","GH127",1
"Algoriphagus sanaruensis M8-2","GH130",1
"Algoriphagus sanaruensis M8-2","GH133",1
"Algoriphagus sanaruensis M8-2","GH144",1
"Algoriphagus sanaruensis M8-2","GH171",1
"Algoriphagus sanaruensis M8-2","GH0",2
"Algoriphagus sanaruensis M8-2","GT1",1
"Algoriphagus sanaruensis M8-2","GT2",32
"Algoriphagus sanaruensis M8-2","GT4",25
"Algoriphagus sanaruensis M8-2","GT5",1
"Algoriphagus sanaruensis M8-2","GT8",1
"Algoriphagus sanaruensis M8-2","GT10",1
"Algoriphagus sanaruensis M8-2","GT19",1
"Algoriphagus sanaruensis M8-2","GT26",1
"Algoriphagus sanaruensis M8-2","GT28",1
"Algoriphagus sanaruensis M8-2","GT30",1
"Algoriphagus sanaruensis M8-2","GT35",1
"Algoriphagus sanaruensis M8-2","GT51",2
"Algoriphagus sanaruensis M8-2","GT83",1
"Algoriphagus sanaruensis M8-2","GT0",2
"Algoriphagus sanaruensis M8-2","CE4",1
"Algoriphagus sanaruensis M8-2","CE9",1
"Algoriphagus sanaruensis M8-2","CE11",1
"Algoriphagus sanaruensis M8-2","CE14",1
"Algoriphagus sanaruensis M8-2","CE15",2
"Algoriphagus sanaruensis M8-2","CE0",4
"Algoriphagus sanaruensis M8-2","CBM6",2
"Algoriphagus sanaruensis M8-2","CBM48",2
"Algoriphagus sanaruensis M8-2","CBM50",8
"Algibacter alginicilyticus HZ22","GH1",1
"Algibacter alginicilyticus HZ22","GH2",6
"Algibacter alginicilyticus HZ22","GH3",5
"Algibacter alginicilyticus HZ22","GH5",1
"Algibacter alginicilyticus HZ22","GH13",2
"Algibacter alginicilyticus HZ22","GH20",4
"Algibacter alginicilyticus HZ22","GH23",2
"Algibacter alginicilyticus HZ22","GH28",3
"Algibacter alginicilyticus HZ22","GH29",12
"Algibacter alginicilyticus HZ22","GH30",4
"Algibacter alginicilyticus HZ22","GH31",2
"Algibacter alginicilyticus HZ22","GH36",1
"Algibacter alginicilyticus HZ22","GH39",2
"Algibacter alginicilyticus HZ22","GH43",4
"Algibacter alginicilyticus HZ22","GH50",1
"Algibacter alginicilyticus HZ22","GH73",1
"Algibacter alginicilyticus HZ22","GH78",1
"Algibacter alginicilyticus HZ22","GH88",4
"Algibacter alginicilyticus HZ22","GH92",6
"Algibacter alginicilyticus HZ22","GH95",6
"Algibacter alginicilyticus HZ22","GH97",2
"Algibacter alginicilyticus HZ22","GH105",2
"Algibacter alginicilyticus HZ22","GH106",1
"Algibacter alginicilyticus HZ22","GH109",2
"Algibacter alginicilyticus HZ22","GH113",1
"Algibacter alginicilyticus HZ22","GH116",4
"Algibacter alginicilyticus HZ22","GH117",6
"Algibacter alginicilyticus HZ22","GH130",1
"Algibacter alginicilyticus HZ22","GH136",4
"Algibacter alginicilyticus HZ22","GH141",1
"Algibacter alginicilyticus HZ22","GH171",1
"Algibacter alginicilyticus HZ22","GH0",6
