name,taxid,rank
"Bacteria","2","superkingdom"
"Bacteroidetes","976","phylum"
"Cytophagia","768503","class"
"Cytophagales","768507","order"
"Hymenobacteraceae","1853232","family"
"Adhaeribacter","299566","genus"
"Adhaeribacter swui","2086471","species"
"Adhaeribacter radiodurans","2745197","species"
"Flavobacteriia","117743","class"
"Flavobacteriales","200644","order"
"Flavobacteriaceae","49546","family"
"Aequorivita","153265","genus"
"Aequorivita sublithincola","101385","species"
"Cyclobacteriaceae","563798","family"
"Algoriphagus","246875","genus"
"Algoriphagus sanaruensis","1727163","species"
"Algibacter","261827","genus"
"Algibacter alginicilyticus","1736674","species"
"Bacteroidia","200643","class"
"Bacteroidales","171549","order"
"Rikenellaceae","171550","family"
"Alistipes","239759","genus"
"Alistipes finegoldii","214856","species"
"Alistipes communis","2585118","species"
"Alistipes indistinctus","626932","species"
"Alistipes onderdonkii","328813","species"
"Alistipes shahii","328814","species"
"Alistipes dispar","2585119","species"
"Marinilabiliales","1970189","order"
"Marinilabiliaceae","558415","family"
"Alkalitalea","1193324","genus"
"Alkalitalea saponilacus","889453","species"
"Prevotellaceae","171552","family"
"Alloprevotella","1283313","genus"
"Altibacter","1535231","genus"
"Antarcticibacterium","2058174","genus"
"Antarcticibacterium arcticum","2585771","species"
"Sphingobacteriia","117747","class"
"Sphingobacteriales","200666","order"
"Sphingobacteriaceae","84566","family"
"Anseongella","1773450","genus"
"Anseongella ginsenosidimutans","496056","species"
"Weeksellaceae","2762318","family"
"Apibacter","1778601","genus"
"Antarcticibacterium flavum","2058175","species"
"Aquiflexum","280472","genus"
"Aquiflexum balticum","280473","species"
"Aquimarina","290174","genus"
"Prolixibacteraceae","1471398","family"
"Aquipluma","2792393","genus"
"Aquipluma nitroreducens","2010828","species"
"Chitinophagia","1853228","class"
"Chitinophagales","1853229","order"
"Chitinophagaceae","563835","family"
"Arachidicoccus","1769012","genus"
"Arachidicoccus ginsenosidivorans","496057","species"
"Arachidicoccus soli","2341117","species"
"Cytophagaceae","89373","family"
"Arcticibacterium","2173039","genus"
"Arcticibacterium luteifluviistationis","1784714","species"
"Arenibacter","178469","genus"
"Arenibacter algicola","616991","species"
"Pukyongia","2831916","genus"
"Pukyongia salina","2094025","species"
"Bacteroidaceae","815","family"
"Bacteroides","816","genus"
"Bacteroides caccae","47678","species"
"Bacteroides caecimuris","1796613","species"
"Phocaeicola","909656","genus"
"Phocaeicola dorei","357276","species"
"Bacteroides cellulosilyticus","246787","species"
"Bacteroides fragilis","817","species"
