from,to
"Alginates","Polysaccharides"
"Alginic Acid","Alginates"
"Carrageenan","Polysaccharides"
"Chitin","Polysaccharides"
"Chitosan","Chitin"
"Ficoll","Polysaccharides"
"Fructans","Polysaccharides"
"Inulin","Fructans"
"Fungal Polysaccharides","Polysaccharides"
"Galactans","Polysaccharides"
"Agar","Galactans"
"Glucans","Polysaccharides"
"beta-Glucans","Glucans"
"Cellulose","Glucans"
"Dextrans","Glucans"
"Glycogen","Glucans"
"Icodextrin","Glucans"
"Isomaltose","Glucans"
"Maltose","Glucans"
"Starch","Glucans"
"Trehalose","Glucans"
"Glycosaminoglycans","Polysaccharides"
"Chondroitin","Glycosaminoglycans"
"Heparin","Glycosaminoglycans"
"Heparitin Sulfate","Glycosaminoglycans"
"Hyaluronic Acid","Glycosaminoglycans"
"Keratan Sulfate","Glycosaminoglycans"
"Mannans","Polysaccharides"
"Oligosaccharides","Polysaccharides"
"Disaccharides","Oligosaccharides"
"Fondaparinux","Oligosaccharides"
"Oligosaccharides, Branched-Chain","Oligosaccharides"
"Trisaccharides","Oligosaccharides"
"Pectins","Polysaccharides"
"Rhamnogalacturonans","Pectins"
"Pentosan Sulfuric Polyester","Polysaccharides"
"Plant Gums","Polysaccharides"
"Chewing Gum","Plant Gums"
"Gum Arabic","Plant Gums"
"Karaya Gum","Plant Gums"
"Tragacanth","Plant Gums"
"Plant Mucilage","Polysaccharides"
"Polysaccharides, Bacterial","Polysaccharides"
"Bambermycins","Polysaccharides, Bacterial"
"Lipopolysaccharides","Polysaccharides, Bacterial"
"Peptidoglycan","Polysaccharides, Bacterial"
"Prebiotics","Polysaccharides, Bacterial"
"Prodigiozan","Polysaccharides, Bacterial"
"Teichoic Acids","Polysaccharides, Bacterial"
"Proteoglycans","Polysaccharides"
"Chondroitin Sulfate Proteoglycans","Proteoglycans"
"Heparan Sulfate Proteoglycans","Proteoglycans"
"Small Leucine-Rich Proteoglycans","Proteoglycans"
"Sepharose","Polysaccharides"
"Xylans","Polysaccharides"
