name,taxid,rank
"Bacteria","2","superkingdom"
"Firmicutes","1239","phylum"
"Bacilli","91061","class"
"Lactobacillales","186826","order"
"Lactobacillaceae","33958","family"
"Acetilactobacillus","2767874","genus"
"Acetilactobacillus jinshanensis","1720083","species"
"Acetilactobacillus jinshanensis HSLZ-75","-1","genome"
"Acidobacteria","57723","phylum"
"Holophagae","533205","class"
"Acanthopleuribacterales","533206","order"
"Acanthopleuribacteraceae","533207","family"
"Acanthopleuribacteraceae bacterium M133","2818388","genome"
"Clostridia","186801","class"
"Eubacteriales","186802","order"
"Oscillospiraceae","216572","family"
"Acetivibrio","35829","genus"
"Acetivibrio saccincola","1677857","species"
"Acetivibrio saccincola GGR1","-1","genome"
"Peptostreptococcaceae","186804","family"
"Acetoanaerobium","186831","genus"
"Acetoanaerobium sticklandii","1511","species"
"Acetoanaerobium sticklandii DSM 519","499177","genome"
"Abyssogena phaseoliformis symbiont","596095","species"
"Abyssogena phaseoliformis symbiont OG214","1235283","genome"
"Erysipelotrichia","526524","class"
"Erysipelotrichales","526525","order"
"Erysipelotrichaceae","128827","family"
"Absiella","2057233","genus"
"Absiella argi","1671597","species"
"Absiella argi JCM 30884","-1","genome"
"Cyanobacteria","1117","phylum"
"Synechococcales","1890424","order"
"Acaryochloridaceae","1890429","family"
"Acaryochloris","155977","genus"
"Acaryochloris marina","155978","species"
"Acaryochloris marina MBIC11017","329726","genome"
"Proteobacteria","1224","phylum"
"Alphaproteobacteria","28211","class"
"Rhodospirillales","204441","order"
"Acetobacteraceae","433","family"
"Acetobacter","434","genus"
"Acetobacter ascendens","481146","species"
"Acetobacter ascendens LMG 1590","-1","genome"
"Acetobacter ghanensis","431306","species"
"Acetobacter ghanensis LMG 23848T","-1","genome"
"Acetobacter aceti","435","species"
"Acetobacter aceti TMW2.1153","-1","genome"
"Acetobacter aceti JCM20276","-1","genome"
"Acetobacter aceti NBRC 14818","887700","genome"
"Acetobacter oryzifermentans","1633874","species"
"Acetobacter oryzifermentans SLV-7","-1","genome"
"Acetobacter pasteurianus","438","species"
"Acetobacter pasteurianus 386B","1266844","genome"
"Acetobacter pasteurianus Ab3","-1","genome"
"Acetobacter pasteurianus CICC 22518","-1","genome"
"Aerococcaceae","186827","family"
"Abiotrophia","46123","genus"
"Abiotrophia defectiva","46125","species"
"Abiotrophia defectiva FDAARGOS_785","-1","genome"
"Acetobacter pasteurianus dm","-1","genome"
"Acetobacter pasteurianus IFO 3283-03","634453","genome"
"Acetobacter ascendens SRCM101447","-1","genome"
"Acetobacter pasteurianus IFO 3283-01-42C","634458","genome"
"Acetobacter pasteurianus IFO 3283-01","634452","genome"
"Acetobacter pasteurianus IFO 3283-07","634454","genome"
"Acetobacter pasteurianus IFO 3283-26","634456","genome"
"Acetobacter pasteurianus IFO 3283-12","634459","genome"
"Acetobacter pasteurianus IFO 3283-32","634457","genome"
"Acetobacter pasteurianus NBRC 101655","1006554","genome"
"Acetobacter pasteurianus subsp. pasteurianus SRCM101468","-1","genome"
"Acetobacter pasteurianus IFO 3283-22","634455","genome"
"Acetobacter orientalis","146474","species"
"Acetobacter orientalis FAN1","-1","genome"
"Acetobacter persici","1076596","species"
"Acetobacter persici TMW2.1084","-1","genome"
"Acetobacter oryzoeni","2500548","species"
"Acetobacter oryzoeni B6","-1","genome"
"Acetobacter pomorum","65959","species"
"Acetobacter pomorum BDGP5","-1","genome"
"Acetobacter tropicalis","104102","species"
"Acetobacter tropicalis BDGP1","-1","genome"
"Acetobacter senegalensis","446692","species"
"Acetobacter senegalensis 108B","-1","genome"
"Acetobacteraceae bacterium","1909293","species"
"Acetobacteraceae bacterium 868","-1","genome"
"Acetobacter sp. JWB","2259883","genome"
"Acetobacter sp. KACC 21233","2592655","genome"
"Acetobacter pomorum SH","-1","genome"
"Acetobacteraceae bacterium 880","-1","genome"
"Eubacteriaceae","186806","family"
"Acetobacterium","33951","genus"
"Acetobacterium woodii","33952","species"
"Acetobacterium woodii DSM 1030","931626","genome"
"Halanaerobiales","53433","order"
"Halobacteroidaceae","53434","family"
"Acetohalobium","28186","genus"
"Acetohalobium arabaticum","28187","species"
"Acetohalobium arabaticum DSM 5501","574087","genome"
"Synergistetes","508458","phylum"
"Synergistia","649775","class"
"Synergistales","649776","order"
"Synergistaceae","649777","family"
"Acetomicrobium","49894","genus"
"Acetomicrobium mobile","97477","species"
"Acetomicrobium mobile DSM 13181","891968","genome"
"Tenericutes","544448","phylum"
"Mollicutes","31969","class"
"Acholeplasmatales","186329","order"
"Acholeplasmataceae","2146","family"
"Acholeplasma","2147","genus"
"Acholeplasma brassicae","61635","species"
"Acholeplasma brassicae O502","-1","genome"
"Acholeplasma axanthum","29552","species"
"Acholeplasma axanthum NCTC10138","-1","genome"
"Acholeplasma oculi","35623","genome"
"Acholeplasma hippikon","264636","species"
"Acholeplasma hippikon NCTC10172","-1","genome"
"Acholeplasma palmae","38986","species"
"Acholeplasma palmae J233","1318466","genome"
"Acholeplasma laidlawii","2148","species"
"Acholeplasma laidlawii NCTC10116","-1","genome"
"Acholeplasma laidlawii PG-8A","441768","genome"
"Acholeplasmataceae bacterium Mahy22","2735436","genome"
"Betaproteobacteria","28216","class"
"Burkholderiales","80840","order"
"Alcaligenaceae","506","family"
"Achromobacter","222","genus"
"Achromobacter denitrificans","32002","species"
"Achromobacter denitrificans FDAARGOS_786","-1","genome"
"Achromobacter denitrificans FDAARGOS_787","-1","genome"
"Achromobacter denitrificans FDAARGOS_788","-1","genome"
"Acetobacterium sp. KB-1","2184575","genome"
"Achromobacter denitrificans PheN1","-1","genome"
"Acetobacteraceae bacterium PAMC 26569","-1","genome"
"Achromobacter deleyi","1353891","species"
"Achromobacter deleyi FDAARGOS_1050","-1","genome"
"Achromobacter denitrificans USDA-ARS-USMARC-56712","-1","genome"
"Achromobacter insolitus","217204","species"
"Achromobacter insolitus AB2","-1","genome"
"Achromobacter denitrificans PR1","-1","genome"
"Achromobacter insolitus LCu2","-1","genome"
"Achromobacter pestifer","1353889","species"
"Achromobacter pestifer FDAARGOS_790","-1","genome"
"Achromobacter ruhlandii","72557","species"
"Achromobacter ruhlandii SCCH3:ACH 33-1365","-1","genome"
"Achromobacter sp. B7","2282475","genome"
"Achromobacter insolitus FDAARGOS_88","-1","genome"
"Achromobacter insolitus DSM 23807","-1","genome"
"Achromobacter spanius","217203","species"
"Achromobacter spanius DSM 23806","-1","genome"
"Achromobacter insolitus NCTC13520","-1","genome"
"Achromobacter spanius UQ283","-1","genome"
"Achromobacter spanius MYb73","-1","genome"
"Achromobacter sp. MFA1 R4","1881016","genome"
"Achromobacter xylosoxidans","85698","species"
"Achromobacter xylosoxidans A8","762376","genome"
"Achromobacter spanius NCTC13519","-1","genome"
"Achromobacter xylosoxidans FDAARGOS_147","-1","genome"
"Achromobacter xylosoxidans FDAARGOS_150","-1","genome"
"Achromobacter xylosoxidans FDAARGOS_789","-1","genome"
"Achromobacter xylosoxidans AX1","-1","genome"
"Achromobacter xylosoxidans C54","562971","genome"
"Achromobacter xylosoxidans GD03","-1","genome"
"Achromobacter xylosoxidans FDAARGOS_162","-1","genome"
"Achromobacter xylosoxidans GN008","-1","genome"
"Achromobacter sp. AONIH1","1758194","genome"
"Achromobacter xylosoxidans NCTC10807","-1","genome"
"Achromobacter xylosoxidans NH44784-1996","1167634","genome"
"Achromobacter xylosoxidans NCTC10808","-1","genome"
"Achromobacter xylosoxidans NBRC 15126 = ATCC 27061","1216976","genome"
"Achromobacter xylosoxidans SOLR10","-1","genome"
"Negativicutes","909932","class"
"Acidaminococcales","1843488","order"
"Acidaminococcaceae","909930","family"
"Acidaminococcus","904","genus"
"Acidaminococcus fermentans","905","species"
"Acidaminococcus fermentans DSM 20731","591001","genome"
"Gammaproteobacteria","1236","class"
"Acidiferrobacterales","1692040","order"
"Acidiferrobacteraceae","1692041","family"
"Acidiferrobacter","986106","genus"
"Acidiferrobacter sp. SPIII_3","1281578","genome"
"Chromatiales","135613","order"
"Ectothiorhodospiraceae","72276","family"
"Acidihalobacter","1765964","genus"
"Acidihalobacter ferrooxydans","1765967","species"
"Acidihalobacter ferrooxydans V8","-1","genome"
"Acidihalobacter prosperus","160660","species"
"Acidihalobacter prosperus F5","-1","genome"
"Acidihalobacter prosperus V6","-1","genome"
"Actinobacteria","201174","phylum"
"Acidimicrobiia","84992","class"
"Acidimicrobiales","84993","order"
"Acidimicrobiaceae","84994","family"
"Acidimicrobium","53634","genus"
"Acidimicrobium ferrooxidans","53635","species"
"Acidimicrobium ferrooxidans DSM 10331","525909","genome"
"Achromobacter xylosoxidans FDAARGOS_984","-1","genome"
"Acidiphilium","522","genus"
"Acidiphilium multivorum","62140","species"
"Acidiphilium multivorum AIU301","926570","genome"
"Achromobacter xylosoxidans MN001","-1","genome"
"Actinomycetia","1760","class"
"Propionibacteriales","85009","order"
"Propionibacteriaceae","31957","family"
"Acidipropionibacterium","1912215","genus"
"Acidipropionibacterium acidipropionici","1748","species"
"Acidipropionibacterium acidipropionici ATCC 55737","-1","genome"
"Acidipropionibacterium acidipropionici ATCC 4875","1171373","genome"
"Acidipropionibacterium acidipropionici F3E8","-1","genome"
