name,cellulose
"Acetilactobacillus jinshanensis HSLZ-75",2
"Acanthopleuribacteraceae bacterium M133",2
"Acetivibrio saccincola GGR1",2
"Acetoanaerobium sticklandii DSM 519",2
"Abyssogena phaseoliformis symbiont OG214",2
"Absiella argi JCM 30884",2
"Acaryochloris marina MBIC11017",2
"Acetobacter ascendens LMG 1590",2
"Acetobacter ghanensis LMG 23848T",2
"Acetobacter aceti TMW2.1153",2
"Acetobacter aceti JCM20276",2
"Acetobacter aceti NBRC 14818",2
"Acetobacter oryzifermentans SLV-7",2
"Acetobacter pasteurianus 386B",2
"Acetobacter pasteurianus Ab3",2
"Acetobacter pasteurianus CICC 22518",2
"Abiotrophia defectiva FDAARGOS_785",2
"Acetobacter pasteurianus dm",2
"Acetobacter pasteurianus IFO 3283-03",2
"Acetobacter ascendens SRCM101447",2
"Acetobacter pasteurianus IFO 3283-01-42C",2
"Acetobacter pasteurianus IFO 3283-01",0
"Acetobacter pasteurianus IFO 3283-07",2
"Acetobacter pasteurianus IFO 3283-26",2
"Acetobacter pasteurianus IFO 3283-12",2
"Acetobacter pasteurianus IFO 3283-32",2
"Acetobacter pasteurianus NBRC 101655",2
"Acetobacter pasteurianus subsp. pasteurianus SRCM101468",2
"Acetobacter pasteurianus IFO 3283-22",2
"Acetobacter orientalis FAN1",2
"Acetobacter persici TMW2.1084",2
"Acetobacter oryzoeni B6",2
"Acetobacter pomorum BDGP5",2
"Acetobacter tropicalis BDGP1",2
"Acetobacter senegalensis 108B",2
"Acetobacteraceae bacterium 868",2
"Acetobacter sp. JWB",2
"Acetobacter sp. KACC 21233",2
"Acetobacter pomorum SH",2
"Acetobacteraceae bacterium 880",2
"Acetobacterium woodii DSM 1030",2
"Acetohalobium arabaticum DSM 5501",2
"Acetomicrobium mobile DSM 13181",0
"Acholeplasma brassicae O502",2
"Acholeplasma axanthum NCTC10138",2
"Acholeplasma oculi",2
"Acholeplasma hippikon NCTC10172",2
"Acholeplasma palmae J233",2
"Acholeplasma laidlawii NCTC10116",2
"Acholeplasma laidlawii PG-8A",2
"Acholeplasmataceae bacterium Mahy22",2
"Achromobacter denitrificans FDAARGOS_786",2
"Achromobacter denitrificans FDAARGOS_787",2
"Achromobacter denitrificans FDAARGOS_788",2
"Acetobacterium sp. KB-1",2
"Achromobacter denitrificans PheN1",2
"Acetobacteraceae bacterium PAMC 26569",2
"Achromobacter deleyi FDAARGOS_1050",2
"Achromobacter denitrificans USDA-ARS-USMARC-56712",2
"Achromobacter insolitus AB2",2
"Achromobacter denitrificans PR1",2
